author,career_length,paper_year
Adam Hoover,22,8
Patrizia Boccacci,32,16
Steffen Klamt,12,0
Shmuel S. Oren,42,20
Leon Iasemidis, PhD,34,10
Robert Harrison,31,13
Gerton Lunter,20,16
Barbara Pernici,33,26
Jun S Liu,23,10
Rocco De Nicola,33,3
Bo Pang,12,0
Viswanath Venkatesh,20,9
Lennart Nacke,10,7
Peter Dinda,20,9
Patrick Bouthemy,31,12
Bernice Rogowitz,37,29
Daniel J. Abadi,11,0
Qingming Huang,22,13
Frank J Bruggeman,14,2
Yifan Yang,34,26
Luís Moniz Pereira,37,0
Richard Bourgon,11,7
Kerstin Dautenhahn,22,11
Tim Davidson,21,13
Igor L. Markov,17,3
Baba C Vemuri,31,12
Daniel Marcu,21,10
Pattie Maes,27,7
David S. Johnson,46,35
Jianchang (JC) Mao,21,9
Hai Zhou,25,10
G. Peter Zhang,17,1
Mohamed A. Ismail,37,7
Stephen McLaughlin,27,21
Strang Thomas,17,7
Lois Ann Scheidt,8,3
Weining Zhang,35,11
Engin Ipek,10,5
JS Plank,24,4
Jingsheng Jason Cong,24,7
Steve Maybank,31,21
Uwe Ohler,15,8
Neal Koblitz,38,12
Rakesh Kumar,41,27
My T. Thai,10,1
Steve Gribble,19,7
Mario Botsch,14,1
Taku Komura,17,4
Ora Lassila,23,12
James F. O'Brien,25,9
Yossi Azar,28,13
Atul Prakash,30,10
John Hollerbach,41,13
Lionel Briand,23,5
York Sure-Vetter,12,2
Thilo Kielmann,23,8
Giuseppe Oriolo,24,19
Calvin Lin,35,25
Artur Czumaj,22,15
Tobias Hossfeld,10,6
Manish Jain,12,0
Richard Zens,10,5
Yang Li,26,13
Elisabetta Di Nitto,20,7
Jan vom Brocke,16,10
Ying Ding,27,14
Erik Demaine,18,7
Bhuvan Urgaonkar,12,3
Hao Lan Zhang,35,19
Ken Hawick,23,1
Tien-Tsin Wong,25,9
Armin Cremers,38,23
Michael Wilson,28,2
Bjarne Foss,32,10
Pierre-Alain Fouque,15,6
Vasanth Bala,21,7
Joao Araujo,16,5
George Giaglis,18,6
Catherine Rosenberg,24,10
Mitsunori Ogihara,24,7
Pham Dinh Tao,39,23
Ram Ramanathan,22,8
Jiebo Luo,32,22
Manfred Hauswirth,19,8
Alden H Wright,42,22
Javier Ramírez,16,5
sanjay chawla,15,5
Lawrence Carin,39,33
Wynne HSU,24,8
